parametro,start
PH,0.26204518990145065
th1,0.7995454736613243
tw,0.29899522555268415
ASC2,-0.1799301156774129
ASC3,-3.191150440276632
ASC4,-2.082053891590467
ASC5,9.850475216168382e-4
ASC6,-3.239496198188301
ASC7,-1.123655352886837
BAGE65_2,0.5186887793362213
BAGE65_3,1.0419580832523287
BAGE65_5,0.4439230526415798
BCP_3,0.9299826103648804
BCP_4,-3.9127351414317433
BED_2,1.0186673782111317
BED_6,-2.146350453846559
BESC_2,-0.15344691359341842
BESC_4,-0.37439199647102284
BESC_5,-0.2642816681928673
BFEM_2,0.9298871103498129
BFEM_3,1.0026547271355313
BFEM_4,-0.7006872996972552
BFEM_5,0.5727868716821191
BFEM_6,-0.36572006095904414
BFEM_7,0.7869919526401072
BNTRAB_2,0.15007291036080647
BPAREJA_2,-0.7597047201552412
BPAREJA_3,-0.6691024114212842
BPAREJA_4,-0.6388828399472419
BPAREJA_5,-0.6531820337937126
BPAREJA_6,-0.3372138750953045
BPAREJA_7,-0.5818790671402758
BQ3_5,-0.24810997402020826
BQ4_2,-0.3388008718174801
BQ4_5,-0.42824446054991105
BQ5_2,-0.7600635841441473
BQ5_5,-0.7334974544065879
BTC_2,-1.102956066092715
BTC_4,-2.083162138979774
BTC_6,-1.2473195027963988
BTC_7,-0.9743333532634784
BTD_2,-0.8429983874633756
BTD_4,-0.9808369869193247
BTD_5,1.0476995846376262
BTD_6,-3.404748348532906
BTEC_2,-0.5048923214540431
BTEC_5,-0.5858410971491492
BTEC_7,-0.23104979081484445
BTMOD_5,-0.04577208883908752
BTMOD_6,0.501305091122178
BUNI_2,-1.026269040708838
BUNI_3,-0.9373720537685138
BUNI_4,-1.4637428267881922
BUNI_5,-1.0996327068505494
BUNI_6,-0.9391335253028568
BUNI_7,-0.8066422226313126
BZCEN_4,0.9417406662520257
BZCEN_5,0.25074878564181313
BZCEN_6,-0.5681118165774571
BZSUR_2,-0.5362949520926579
BZSUR_3,-0.6345642663576309
BZSUR_5,-0.36695274587946886
BZSUR_6,-0.6341082981292673
BZSUR_7,-0.319479245366328
